jour_confi,hosp_1,rea_1,hosp_2,rea_2
1,2972,771,23013,3443
2,4073,1002,24008,3569
3,5226,1297,25120,3721
4,5900,1453,26242,3869
5,6954,1674,27511,4080
6,8673,2080,28403,4221
7,10176,2516,28955,4321
8,12072,2935,29396,4410
9,13879,3351,30217,4527
10,15701,3758,31098,4677
11,17580,4236,31477,4736
12,19311,4592,31918,4789
13,20946,5056,NA,NA
14,22672,5496,NA,NA
15,24543,5940,NA,NA
16,26131,6305,NA,NA
17,27302,6556,NA,NA
18,28003,6723,NA,NA
19,28747,6859,NA,NA
20,29569,6948,NA,NA
21,29871,7004,NA,NA
22,30217,7019,NA,NA
23,30608,6937,NA,NA
24,31108,6875,NA,NA
25,31159,6752,NA,NA
26,31665,6714,NA,NA
27,31952,6690,NA,NA
28,32131,6599,NA,NA
29,31623,6331,NA,NA
30,31172,6139,NA,NA
31,31061,5922,NA,NA
32,30515,5733,NA,NA
33,30486,5644,NA,NA
34,30462,5584,NA,NA
35,29984,5334,NA,NA
36,29627,5127,NA,NA
37,29113,4967,NA,NA
38,28554,4785,NA,NA
39,28119,4641,NA,NA
40,28114,4598,NA,NA
41,27954,4526,NA,NA
42,27607,4392,NA,NA
43,26736,4128,NA,NA
44,26192,3947,NA,NA
45,25809,3819,NA,NA
46,25751,3770,NA,NA
47,25739,3762,NA,NA
48,25472,3639,NA,NA
49,24701,3375,NA,NA
50,23912,3095,NA,NA
51,23139,2911,NA,NA
52,22657,2820,NA,NA
53,22547,2764,NA,NA
54,22502,2728,NA,NA
55,22219,2666,NA,NA
56,21530,2496,NA,NA
57,21009,2385,NA,NA
58,20401,2256,NA,NA
59,19801,2162,NA,NA
60,19372,2091,NA,NA
61,19302,2047,NA,NA
62,18956,1958,NA,NA
63,18409,1854,NA,NA
64,17882,1754,NA,NA
65,17527,1708,NA,NA
66,17327,1664,NA,NA
67,17122,1628,NA,NA
68,17129,1618,NA,NA
69,16742,1572,NA,NA
70,16209,1519,NA,NA
71,15627,1467,NA,NA
72,15155,1395,NA,NA
73,14643,1328,NA,NA
74,14329,1293,NA,NA
75,14271,1287,NA,NA
76,14237,1270,NA,NA
77,13978,1221,NA,NA
78,13465,1179,NA,NA
79,13054,1133,NA,NA
80,12650,1065,NA,NA
81,12433,1030,NA,NA
82,12415,1024,NA,NA
83,12269,995,NA,NA
84,11915,926,NA,NA
85,11632,904,NA,NA
86,11420,875,NA,NA
87,11079,851,NA,NA
88,10864,843,NA,NA
89,10836,841,NA,NA
90,10707,818,NA,NA
91,10490,792,NA,NA
92,10222,744,NA,NA
93,10080,724,NA,NA
94,9925,699,NA,NA
95,9792,687,NA,NA
96,9778,687,NA,NA
97,9648,673,NA,NA
98,9446,654,NA,NA
99,9254,630,NA,NA
-24,NA,NA,7377,1417
-23,NA,NA,7514,1406
-22,NA,NA,7603,1418
-21,NA,NA,7843,1439
-20,NA,NA,7976,1456
-19,NA,NA,8231,1483
-18,NA,NA,8671,1539
-17,NA,NA,8928,1633
-16,NA,NA,9173,1664
-15,NA,NA,9584,1741
-14,NA,NA,10021,1791
-13,NA,NA,10399,1868
-12,NA,NA,10897,1939
-11,NA,NA,11640,2090
-10,NA,NA,12435,2168
-9,NA,NA,13162,2239
-8,NA,NA,14009,2310
-7,NA,NA,14985,2432
-6,NA,NA,15637,2491
-5,NA,NA,16454,2575
-4,NA,NA,17761,2761
-3,NA,NA,18955,2909
-2,NA,NA,20184,3036
-1,NA,NA,21160,3147
0,NA,NA,22153,3368
